id,start_seconds,end_seconds,characters,rating
1703D,1659269864,1659274929,963,1100
1675B,1659352716,1659353560,469,900
1714A,1659614443,1659699912,535,900
1713B,1659878105,1659879630,443,1000
1704B,1660044971,1660046019,455,1000
1703E,1660487355,1660490701,507,1200
1679B,1660562111,1660564921,579,1200
1712C,1660647918,1660652114,632,1100
1668B,1660735387,1660737530,404,900
1704C,1661079627,1661122860,727,1200
1150B,1661167102,1661168936,563,900
1720A,1661339903,1661516749,408,900
1722D,1662390785,1662392560,526,1100
1783B,1673798010,1673835439,410,1100
1775B,1673990906,1674178152,804,1300
1873E,1712273409,1712341850,549,1100
1979A,1717684684,1717686484,482,800
1979B,1717686554,1717688541,328,1000
1979C,1717688744,1717731175,620,1200
